track_id,name,artist_id,artist_name,genre,duration_ms,popularity,release_year,tempo,energy,danceability,acousticness,valence,instrumentalness,loudness,speechiness
T000032,Quiet Night,A00441,MC Pulse,Metal,124912,58,2013,189.0,0.8621,0.5758,0.5734,0.7095,0.4177,-35.39,0.0209
T000033,Dark Time,A00166,Crystal Bass,Classical,240611,88,2019,188.8,0.0881,0.8445,0.2433,0.5889,0.524,-24.17,0.3103
T000034,Bright Soul,A00173,Crystal Tone,Soul,164074,9,2024,131.5,0.114,0.51,0.9059,0.3494,0.7274,-7.24,0.815
T000035,Red Road,A00120,Big Bass,Folk,171713,22,2008,144.3,0.7602,0.6555,0.1771,0.7728,0.4941,-9.82,0.7599
T000036,Wild Life,A00229,The Tone,Soul,288556,81,2018,198.1,0.3232,0.971,0.3161,0.4398,0.4689,-14.74,0.7963
T000037,Blue Soul,A00302,Silver Beat,Reggae,139448,39,2016,124.6,0.0376,0.3687,0.2871,0.6447,0.9774,-36.39,0.5941
T000038,Old Sun,A00196,Young Beat,Pop,327570,94,2017,185.4,0.4497,0.8098,0.6518,0.3215,0.4756,-33.97,0.0619
T000039,Loud Life,A00052,Neon Beat,Folk,307253,10,2010,130.6,0.1726,0.2477,0.4378,0.4394,0.5227,-33.65,0.3729
T000040,New Mind,A00144,Neon Storm,Metal,208700,86,2024,143.7,0.7892,0.6473,0.0659,0.0945,0.6784,-28.63,0.7237
T000041,High Sun,A00336,Golden Harmony,R&B,207388,10,2004,141.6,0.1414,0.3498,0.9677,0.6985,0.392,-16.2,0.938
T000042,Last Mind,A00158,MC Storm,Classical,327529,42,2020,173.8,0.6701,0.829,0.7388,0.6854,0.5264,-14.16,0.4234
T000043,Blue Soul,A00185,Midnight Groove,Indie,167254,27,2009,107.8,0.7662,0.192,1.0,0.1549,0.2958,-8.48,0.5077
T000044,Deep Star,A00276,Midnight Tone,R&B,129895,84,2016,107.1,0.7663,0.131,0.3767,0.1622,0.8313,-9.16,0.809
T000045,Quiet Fire,A00084,Midnight Storm,Blues,227704,46,2001,154.7,0.2375,0.4442,0.2849,0.7485,0.4489,-18.64,0.3095
T000046,Loud Fire,A00414,Crystal Pulse,R&B,216427,86,2006,192.6,0.9844,0.4617,0.2818,0.3819,0.5275,-1.35,0.8169
T000047,First Road,A00410,Midnight Sound,Country,133678,82,2008,127.3,0.3712,0.9343,0.7114,0.5159,0.1247,-36.64,0.1603
T000048,High Rain,A00230,MC Melody,Folk,337853,55,2004,72.8,0.9105,0.8167,0.8846,0.9305,0.4149,-24.14,0.374
T000049,Red Soul,A00197,Young Melody,Folk,127389,40,2007,190.3,0.8392,0.65,0.7914,0.1376,0.2869,-6.81,0.6961
T000050,Loud Star,A00071,Solar Storm,Soul,237598,78,2015,60.7,0.0792,0.2559,0.835,0.5488,0.7272,-18.89,0.1112
T000051,Bright Heart,A00147,Neon Sound,Pop,132517,30,2003,118.8,0.7939,0.4571,0.1109,0.9051,0.5967,-39.34,0.5154
T000052,Quiet Road,A00123,MC Wave,Metal,232522,0,2009,146.1,0.2406,0.4166,0.6644,0.0856,0.9747,-37.29,0.5261
T000053,Loud Rain,A00259,Young Tone,Reggae,125330,49,2017,182.3,0.0435,0.3869,0.3733,0.7473,0.3571,-37.3,0.2411
T000054,Wild Day,A00336,Golden Harmony,R&B,272542,94,2024,165.9,0.1334,0.3523,0.3385,0.6428,0.8304,-12.61,0.9808
T000055,Wild Road,A00245,Silver Harmony,Reggae,136541,91,2004,168.7,0.4577,0.2934,0.0438,0.1995,0.0419,-2.67,0.5154
T000056,Last Fire,A00417,MC Echo,Pop,129599,96,2008,150.6,0.2861,0.8621,0.0478,0.6557,0.2732,-8.03,0.437
T000057,Quiet Fire,A00204,Midnight Rhythm,Electronic,208876,23,2012,129.5,0.4975,0.9243,0.5193,0.8011,0.7271,-36.84,0.6025
T000058,Dark Rain,A00421,Golden Vibe,Reggae,204203,13,2009,71.2,0.6609,0.3065,0.6026,0.4261,0.6898,-25.94,0.0424
T000059,High Soul,A00445,Neon Wave,Blues,234017,35,2019,149.5,0.7915,0.0574,0.6712,0.4062,0.5131,-10.0,0.16
T000060,Dark Love,A00015,Lil Echo,Electronic,297756,100,2019,121.3,0.1262,0.236,0.6452,0.3622,0.9495,-38.7,0.1534
T000061,Found Soul,A00230,MC Melody,Folk,320038,9,2014,140.3,0.5295,0.398,0.6496,0.2496,0.1134,-10.57,0.499
T000062,High Rain,A00198,The Harmony,Folk,188623,99,2003,96.4,0.4463,0.9964,0.2856,0.9165,0.4912,-35.09,0.8528
T000063,Dark Life,A00231,Lil Flow,R&B,236683,11,2022,173.5,0.9676,0.9866,0.6678,0.7095,0.55,-28.39,0.3
T000064,Quiet Star,A00080,Midnight Harmony,R&B,287169,22,2022,171.1,0.5088,0.1214,0.201,0.1389,0.7904,-38.95,0.554
T000065,Old Time,A00188,The Harmony,Soul,154018,78,2017,183.8,0.0657,0.3982,0.7169,0.4787,0.4108,-23.62,0.5749
T000066,Found Moon,A00064,Solar Flow,Blues,237958,59,2002,155.2,0.3445,0.878,0.7803,0.6398,0.182,-1.35,0.4326
T000067,Deep Night,A00466,Electric Harmony,Pop,255817,19,2003,102.6,0.162,0.9347,0.2255,0.9475,0.5189,-28.64,0.0789
T000068,Wild Rain,A00100,DJ Pulse,Hip-Hop,152812,80,2008,102.4,0.5335,0.5026,0.1686,0.9416,0.1542,-13.65,0.7206
T000069,Found Love,A00309,Midnight Rhythm,Rock,130798,3,2018,71.4,0.9485,0.771,0.2647,0.2108,0.5721,-15.28,0.0303
T000070,Wild Rain,A00455,Electric Vibe,Metal,288272,38,2009,127.6,0.8047,0.685,0.2974,0.073,0.0599,-22.42,0.4843
T000071,Found Sun,A00104,Electric Pulse,Classical,201941,91,2004,104.7,0.988,0.3454,0.3987,0.7607,0.515,-35.75,0.2417
T000072,Lost Fire,A00062,Midnight Wave,Metal,156930,12,2007,67.1,0.9454,0.8642,0.4181,0.9627,0.9023,-7.46,0.9338
T000073,Found Dream,A00369,Electric Tone,Reggae,161770,63,2024,199.4,0.4668,0.8791,0.4974,0.09,0.3932,-21.71,0.2407
T000074,Found Night,A00298,Solar Pulse,Jazz,193755,63,2001,143.7,0.8428,0.6725,0.2857,0.0082,0.1075,-34.64,0.2645
T000075,Loud Mind,A00187,Young Wave,R&B,131860,51,2011,67.2,0.5618,0.3625,0.2886,0.3863,0.4504,-18.01,0.8253
T000076,Wild Sun,A00319,Silver Tone,Pop,153728,12,2003,115.1,0.7949,0.3391,0.9389,0.755,0.1991,-19.64,0.5001
T000077,Blue Road,A00023,Lil Bass,Metal,207304,60,2022,132.7,0.1489,0.8931,0.1398,0.9314,0.3185,-24.28,0.6165
T000078,Lost Sun,A00431,Silver Vibe,Indie,252989,65,2010,134.5,0.7087,0.2998,0.8157,0.3684,0.6738,-0.8,0.5837
T000079,High Star,A00407,Neon Pulse,Blues,284956,3,2022,143.6,0.2655,0.6556,0.9721,0.5785,0.2275,-37.95,0.4804
T000080,Wild Star,A00268,Cosmic Sound,Latin,323058,48,2019,80.7,0.6807,0.0316,0.9482,0.1099,0.0189,-27.45,0.1514
T000081,Bright Mind,A00353,Lil Groove,Soul,323154,78,2016,188.9,0.8728,0.7358,0.0623,0.1381,0.2073,-27.0,0.6622
T000082,New Soul,A00269,Silver Rhythm,Indie,240498,68,2005,107.9,0.3543,0.772,0.7209,0.6433,0.6933,-15.6,0.1923
T000083,Lost Rain,A00126,Big Echo,Country,178947,38,2009,168.0,0.7049,0.6902,0.489,0.4798,0.5605,-2.62,0.7217
T000084,Red Sun,A00147,Neon Sound,Pop,262394,48,2021,185.4,0.3945,0.3451,0.7731,0.1465,0.0421,-1.79,0.079
T000085,Old Moon,A00473,Cosmic Wave,Classical,315910,61,2008,90.0,0.828,0.2711,0.562,0.2716,0.1092,-10.36,0.2393
T000086,Wild Life,A00025,Neon Pulse,Reggae,179158,81,2016,92.6,0.1002,0.3303,0.4724,0.6812,0.1375,-1.42,0.9779
T000087,New Moon,A00080,Midnight Harmony,R&B,245160,83,2015,87.9,0.9639,0.3212,0.6459,0.9079,0.0895,-17.03,0.5352
T000088,Deep Life,A00370,Electric Rhythm,Blues,359397,22,2001,118.5,0.8376,0.9339,0.0363,0.8362,0.788,-32.55,0.749
T000089,High Heart,A00446,Silver Echo,Jazz,122429,38,2001,139.5,0.1073,0.983,0.2846,0.9891,0.5433,-20.24,0.9386
T000090,Last Fire,A00435,Lil Melody,Country,170544,14,2008,106.3,0.7311,0.6483,0.7186,0.0141,0.3371,-28.2,0.6744
T000091,Dark Sun,A00098,Neon Pulse,Pop,355154,51,2020,175.8,0.5153,0.0867,0.6693,0.1848,0.1406,-27.06,0.248
T000092,New Dream,A00133,Golden Melody,Blues,317592,34,2014,193.6,0.3019,0.7229,0.0114,0.6537,0.6928,-37.52,0.1182
T000093,Dark Mind,A00157,Electric Sound,Indie,251732,90,2021,167.8,0.6903,0.6387,0.9406,0.3675,0.2208,-1.71,0.4782
T000094,Quiet Sun,A00232,Crystal Beat,Latin,229011,89,2011,136.9,0.4708,0.5375,0.6641,0.2184,0.2475,-9.81,0.8731
T000095,Last Fire,A00041,Midnight Harmony,Blues,304488,46,2016,70.9,0.5642,0.0618,0.5476,0.5055,0.5727,-34.01,0.3281
T000096,Old Day,A00266,Electric Echo,Blues,173844,91,2021,141.6,0.0909,0.5104,0.8087,0.4534,0.5132,-21.73,0.0577
T000097,Wild Time,A00236,Crystal Melody,Folk,309603,2,2009,115.4,0.8165,0.7458,0.5783,0.0453,0.3445,-37.45,0.9941
T000098,High Day,A00478,Golden Vibe,Classical,128319,36,2015,117.2,0.769,0.7658,0.9783,0.6459,0.4204,-0.29,0.3825
T000099,High Life,A00445,Neon Wave,Blues,218473,10,2012,155.6,0.6618,0.5393,0.6535,0.3478,0.1785,-18.51,0.5288
T000100,Bright Love,A00372,Big Beat,Reggae,318227,2,2000,197.0,0.463,0.7191,0.4241,0.3793,0.2297,-21.57,0.1551
T000101,High Life,A00096,MC Groove,Pop,320668,14,2023,64.5,0.6602,0.6149,0.9362,0.889,0.2407,-37.31,0.5939
T000102,First Moon,A00228,Crystal Groove,Indie,348645,6,2022,94.3,0.0442,0.439,0.5398,0.7544,0.7761,-34.39,0.9935
T000103,Deep Life,A00119,Young Vibe,Jazz,271023,40,2023,140.8,0.7725,0.8184,0.2369,0.8763,0.9857,-19.15,0.4136
T000104,Blue Rain,A00140,Electric Flow,Folk,350611,94,2018,187.6,0.626,0.4272,0.4956,0.9723,0.9416,-13.15,0.7858
T000105,Quiet Mind,A00163,Midnight Flow,Reggae,159116,38,2013,112.7,0.7544,0.4735,0.8493,0.3007,0.7076,-7.77,0.9147
T000106,New Mind,A00287,Cosmic Rhythm,Country,258934,17,2017,114.4,0.255,0.3303,0.0791,0.4498,0.3711,-18.57,0.8294
T000107,Lost Mind,A00026,MC Wave,Metal,278589,77,2021,65.5,0.0728,0.8047,0.5876,0.6715,0.217,-31.64,0.907
T000108,High Night,A00155,Electric Groove,Folk,169813,94,2006,76.4,0.9996,0.4789,0.2426,0.6044,0.2045,-3.39,0.5521
T000109,Lost Mind,A00397,The Echo,Pop,259893,83,2014,110.3,0.2616,0.5128,0.4973,0.0986,0.9813,-21.22,0.8397
T000110,Bright Soul,A00468,Young Vibe,Jazz,228509,5,2010,138.8,0.2213,0.1459,0.2608,0.9348,0.5791,-23.3,0.1524
T000111,Bright Mind,A00168,Solar Echo,R&B,338461,31,2018,129.9,0.6546,0.6848,0.2573,0.8216,0.9665,-14.33,0.4906
T000112,Quiet Time,A00086,Young Tone,Jazz,164371,17,2011,160.8,0.4883,0.9169,0.5421,0.6418,0.0587,-38.65,0.8467
T000113,Deep Moon,A00483,Solar Sound,Classical,320366,0,2001,117.7,0.8425,0.2314,0.7072,0.0091,0.5057,-25.07,0.6178
T000114,High Sun,A00341,Crystal Groove,Hip-Hop,292827,62,2015,62.2,0.5322,0.4113,0.0167,0.7222,0.5357,-28.53,0.5022
T000115,Wild Mind,A00357,Electric Sound,Indie,148053,12,2005,133.4,0.241,0.6198,0.2524,0.3544,0.7949,-36.84,0.9593
T000116,First Dream,A00235,Dark Tone,Country,179207,38,2022,155.8,0.8479,0.6537,0.8582,0.7596,0.0935,-24.83,0.5527
T000117,Wild Night,A00028,MC Bass,Electronic,164927,10,2022,130.0,0.4339,0.7844,0.5659,0.858,0.0954,-18.87,0.0426
T000118,High Love,A00108,Electric Harmony,Country,352667,72,2022,126.6,0.0466,0.0743,0.9256,0.8993,0.5635,-38.68,0.9288
T000119,Blue Dream,A00161,MC Pulse,Latin,157798,96,2018,174.9,0.8209,0.9289,0.2993,0.564,0.5667,-6.02,0.677
T000120,Found Mind,A00276,Midnight Tone,R&B,313919,17,2024,170.7,0.6893,0.0784,0.7455,0.3459,0.0977,-30.71,0.076
T000121,Loud Sun,A00309,Midnight Rhythm,Rock,223993,99,2019,105.7,0.6341,0.7835,0.4506,0.2281,0.553,-24.98,0.1857
T000122,Wild Mind,A00299,Big Vibe,Country,322419,79,2002,101.4,0.2464,0.0735,0.268,0.38,0.7839,-33.83,0.3896
T000123,Red Day,A00184,Young Flow,Pop,200810,56,2000,110.4,0.2698,0.1325,0.1874,0.4488,0.5547,-23.68,0.0263
T000124,Last Day,A00181,Cosmic Melody,Country,276773,100,2019,105.4,0.3852,0.2918,0.3878,0.0847,0.9011,-3.79,0.9782
T000125,Last Road,A00292,Silver Sound,Country,219806,21,2021,79.4,0.3011,0.4931,0.0633,0.4347,0.4211,-20.63,0.0769
T000126,Bright Star,A00128,Midnight Beat,Folk,249971,76,2020,146.3,0.4579,0.1355,0.0068,0.3957,0.8416,-24.8,0.8622
T000127,Found Mind,A00225,Crystal Melody,Reggae,275816,17,2020,102.1,0.6032,0.6953,0.479,0.1776,0.3982,-27.23,0.7349
T000128,Old Sun,A00324,MC Sound,Electronic,205429,48,2007,99.2,0.7859,0.365,0.9321,0.1998,0.9973,-32.8,0.7676
T000129,Quiet Fire,A00013,Silver Harmony,Rock,174958,56,2022,171.7,0.8313,0.0692,0.8478,0.795,0.673,-34.43,0.3028
T000130,Wild Road,A00129,DJ Echo,Country,230920,48,2022,70.4,0.9907,0.4792,0.4008,0.5066,0.9204,-12.33,0.5436
T000131,Found Star,A00404,MC Pulse,Hip-Hop,275666,81,2017,188.0,0.1094,0.2482,0.6647,0.1663,0.6127,-17.47,0.645
T000132,New Time,A00331,Solar Vibe,Indie,328727,55,2010,74.8,0.0986,0.222,0.7469,0.558,0.6877,-31.16,0.3741
T000133,Loud Moon,A00237,Young Sound,Indie,300993,64,2018,81.1,0.9977,0.4828,0.2954,0.9205,0.0859,-6.75,0.7302
T000134,Lost Soul,A00178,DJ Groove,Blues,325591,26,2014,133.0,0.3483,0.0976,0.722,0.4524,0.0672,-38.21,0.7108
T000135,Deep Soul,A00011,Electric Sound,R&B,148668,86,2020,172.0,0.9299,0.7405,0.516,0.5519,0.331,-22.95,0.4621
T000136,New Moon,A00408,Cosmic Beat,Jazz,168860,81,2005,152.0,0.3956,0.7374,0.8831,0.4496,0.4296,-39.82,0.2148
T000137,Loud Star,A00142,DJ Flow,Hip-Hop,271348,13,2002,171.9,0.5369,0.3658,0.1971,0.114,0.6707,-20.42,0.9659
T000138,First Mind,A00160,Young Groove,Folk,222903,75,2019,76.0,0.352,0.4579,0.1725,0.6736,0.8006,-3.25,0.5902
T000139,Dark Soul,A00344,Midnight Rhythm,Hip-Hop,182540,39,2003,76.4,0.3733,0.1414,0.3885,0.5964,0.5748,-23.08,0.4867
T000140,Quiet Life,A00275,Lil Harmony,Electronic,165412,71,2020,83.4,0.2888,0.1871,0.842,0.6194,0.8655,-1.93,0.4846
T000141,Deep Mind,A00099,MC Melody,Metal,252497,83,2017,129.3,0.6847,0.4156,0.8399,0.4887,0.0827,-38.77,0.7611
T000142,Blue Heart,A00149,Crystal Sound,Indie,260930,36,2007,83.5,0.4573,0.7425,0.7659,0.5497,0.1132,-35.43,0.7751
T000143,Found Rain,A00421,Golden Vibe,Reggae,130907,97,2024,160.7,0.5464,0.9898,0.1024,0.8301,0.7513,-28.09,0.9993
T000144,Lost Soul,A00230,MC Melody,Folk,235099,15,2002,168.6,0.2369,0.8107,0.5879,0.3506,0.7108,-14.69,0.166
T000145,Loud Dream,A00071,Solar Storm,Soul,331141,7,2006,139.8,0.5323,0.5969,0.1684,0.979,0.2926,-17.09,0.9524
T000146,High Moon,A00263,Silver Melody,Classical,155543,96,2003,170.0,0.9188,0.9925,0.867,0.1269,0.8661,-30.01,0.7114
T000147,Bright Time,A00424,Lil Harmony,Blues,222944,62,2021,79.9,0.6324,0.6278,0.3752,0.0755,0.7946,-9.24,0.4029
T000148,Lost Star,A00383,Big Pulse,Reggae,239195,62,2011,105.8,0.0025,0.7741,0.7327,0.7309,0.4584,-13.43,0.3582
T000149,Loud Rain,A00032,The Groove,Electronic,177102,54,2012,175.5,0.4947,0.3229,0.2836,0.5473,0.1306,-5.9,0.7883
T000150,Wild Time,A00457,Cosmic Wave,Jazz,132043,12,2001,147.7,0.8367,0.0163,0.9294,0.158,0.4565,-0.33,0.4278
T000151,High Road,A00352,Midnight Melody,Indie,199132,20,2020,182.4,0.8766,0.0933,0.3604,0.0824,0.6645,-14.04,0.0518
T000152,Lost Star,A00320,Silver Wave,Electronic,317979,29,2022,120.1,0.0912,0.0952,0.2134,0.0779,0.5937,-19.22,0.4451
T000153,Quiet Soul,A00004,Solar Flow,Hip-Hop,345533,54,2003,157.2,0.4777,0.2289,0.0893,0.806,0.1032,-25.3,0.2993
T000154,Loud Love,A00195,Young Harmony,Blues,349244,17,2024,149.8,0.6771,0.0684,0.5633,0.6103,0.1641,-25.95,0.2131
T000155,Dark Life,A00383,Big Pulse,Reggae,281500,87,2013,121.9,0.2172,0.8966,0.14,0.1232,0.73,-25.94,0.4294
T000156,Dark Dream,A00405,Cosmic Harmony,Country,288983,10,2008,94.7,0.601,0.7212,0.2849,0.9413,0.0268,-6.12,0.8758
T000157,Last Sun,A00105,Young Melody,Folk,169452,95,2016,114.8,0.6462,0.7838,0.7938,0.2393,0.3859,-30.36,0.6381
T000158,Last Life,A00036,Young Flow,Reggae,214659,40,2000,78.5,0.8608,0.5684,0.3654,0.6829,0.7627,-1.82,0.7704
T000159,First Day,A00008,DJ Flow,Electronic,188730,27,2000,65.6,0.0605,0.7893,0.5066,0.6286,0.501,-23.38,0.7018
T000160,Wild Rain,A00042,DJ Pulse,Soul,281493,19,2017,98.8,0.3099,0.5113,0.2032,0.8081,0.5364,-24.37,0.6343
T000161,Wild Moon,A00427,MC Flow,Electronic,137331,39,2020,157.8,0.73,0.8465,0.0579,0.0862,0.4345,-21.87,0.6088
T000162,Wild Star,A00158,MC Storm,Classical,314159,22,2021,76.7,0.7079,0.7015,0.1638,0.953,0.523,-8.68,0.7208
T000163,Found Road,A00085,Cosmic Harmony,Rock,324766,34,2023,162.6,0.1181,0.8999,0.335,0.4293,0.5239,-29.48,0.9751
T000164,Red Fire,A00321,Big Bass,Pop,253898,46,2014,67.8,0.8594,0.1669,0.1573,0.7733,0.8943,-13.04,0.1153
T000165,Last Night,A00379,Lil Pulse,Hip-Hop,345100,1,2001,94.2,0.4718,0.383,0.1501,0.9312,0.8575,-17.89,0.9139
T000166,Wild Mind,A00379,Lil Pulse,Hip-Hop,204358,31,2007,118.3,0.7203,0.2713,0.0779,0.3728,0.502,-3.92,0.1793
T000167,Last Night,A00411,Lil Sound,Indie,138068,59,2012,181.2,0.7735,0.3107,0.0864,0.4567,0.3689,-28.34,0.7845
T000168,First Dream,A00378,Electric Vibe,R&B,216540,75,2014,196.1,0.9978,0.7759,0.7325,0.5466,0.796,-33.98,0.9324
T000169,Bright Rain,A00012,Silver Bass,Pop,286708,88,2011,182.8,0.951,0.0015,0.6573,0.849,0.7272,-35.84,0.5298
T000170,New Fire,A00121,MC Rhythm,Blues,157322,91,2001,99.2,0.0439,0.2315,0.8455,0.4131,0.8956,-21.66,0.7479
T000171,Red Rain,A00297,Cosmic Harmony,Indie,287042,50,2004,70.5,0.5678,0.435,0.9642,0.2368,0.261,-27.4,0.8008
T000172,Deep Star,A00358,Crystal Beat,Latin,203376,57,2010,98.1,0.0747,0.2027,0.7799,0.5847,0.1554,-33.43,0.4661
T000173,Red Rain,A00208,Big Pulse,Pop,321939,26,2011,123.3,0.4633,0.8525,0.0904,0.8076,0.3042,-11.81,0.6033
T000174,Deep Love,A00110,Crystal Beat,Latin,158882,11,2010,159.6,0.9684,0.3962,0.049,0.2988,0.8201,-33.05,0.9521
T000175,Old Rain,A00437,Electric Rhythm,Hip-Hop,264210,31,2023,73.3,0.1019,0.7938,0.1215,0.0617,0.781,-31.11,0.1981
T000176,Found Moon,A00205,Big Bass,Folk,289000,10,2020,141.5,0.2588,0.8127,0.0218,0.0645,0.9025,-22.26,0.1288
T000177,Deep Love,A00463,Dark Wave,Electronic,152119,5,2010,191.9,0.0506,0.9241,0.4332,0.7244,0.4961,-24.69,0.4267
T000178,Bright Life,A00181,Cosmic Melody,Country,192084,35,2005,122.4,0.1486,0.6141,0.617,0.6473,0.4989,-4.69,0.479
T000179,Lost Mind,A00044,Dark Vibe,Hip-Hop,229899,25,2004,150.0,0.7972,0.2491,0.9941,0.5437,0.0195,-24.7,0.7134
T000180,Last Time,A00245,Silver Harmony,Reggae,210186,72,2015,130.3,0.3884,0.1798,0.3189,0.219,0.8958,-8.86,0.0586
T000181,Last Soul,A00241,Silver Sound,Indie,273089,29,2024,196.4,0.1001,0.6569,0.2665,0.8163,0.9173,-37.76,0.9964
T000182,First Love,A00112,Midnight Melody,Pop,213009,22,2012,84.7,0.5925,0.8062,0.6976,0.914,0.0282,-11.98,0.9476
T000183,Dark Sun,A00288,DJ Pulse,Soul,339335,63,2006,135.9,0.1756,0.038,0.0562,0.6017,0.0199,-20.88,0.3317
T000184,Bright Time,A00314,Silver Bass,Country,209327,91,2004,84.8,0.8024,0.8682,0.0596,0.1477,0.7047,-34.33,0.1109
T000185,Deep Soul,A00269,Silver Rhythm,Indie,217934,90,2002,191.9,0.3956,0.101,0.3018,0.1365,0.1575,-2.05,0.7918
T000186,Old Moon,A00491,Crystal Rhythm,Soul,165666,90,2010,195.6,0.6936,0.9288,0.787,0.2232,0.589,-32.99,0.3068
T000187,Lost Road,A00352,Midnight Melody,Indie,311058,0,2005,192.8,0.9487,0.3916,0.9943,0.9652,0.0324,-15.9,0.921
T000188,First Dream,A00495,Dark Rhythm,Folk,268255,13,2020,191.1,0.1406,0.7453,0.238,0.9824,0.1679,-4.59,0.0887
T000189,Wild Moon,A00362,Lil Groove,R&B,352430,42,2023,122.5,0.2652,0.2495,0.0678,0.2567,0.108,-39.95,0.3859
T000190,New Road,A00375,Cosmic Flow,Latin,249258,48,2013,109.2,0.3753,0.8288,0.7887,0.5781,0.7582,-30.98,0.4513
T000191,Deep Night,A00409,Solar Rhythm,R&B,125263,40,2009,96.6,0.1047,0.3418,0.8879,0.1609,0.075,-2.33,0.978
